analysis,Age206Pb238Uu,Age206Pb238Uu_sigma,Age206Pb238U,Age206Pb238U_sigma,Age207Pb235Uu,Age207Pb235Uu_sigma,Age207Pb235U,Age207Pb235U_sigma,Age207Pb206Pbu,Age207Pb206Pbu_sigma,Age207Pb206Pb,Age207Pb206Pb_sigma,Discordance,Upg,Th_U,Pbradpg,Pbcpg,r206Pb_238U,r206Pb_238U_2sigma,r207Pb_235U,r207Pb_235U_2sigma,Corr6875
RSES60 z10.19 R,3971.0204154226,1.0924367613,3971.0701096909,1.092419933,3993.0337712787,0.5884389164,3993.0336788056,0.5884389991,4004.1136599997,0.5891573579,4004.0884672674,0.5891685893,0.8264811488,1486.0686674698,0.4407183442,1676.7251461528,30.0441730604,0.8515298638,0.0368470097,50.036405866,0.0591106198,0.7571124725
RSES60 z10.19 L1,1489.5169563588,0.9316568132,1489.5874775515,0.9315608629,2594.1538348475,1.5196966593,2594.153468125,1.5196973852,3622.5380031519,1.6553586967,3622.4561538995,1.6555643942,58.881950857,681.2311627822,0.5216778993,226.4535359746,14.3500907862,0.259950277,0.0700416149,11.8693954006,0.1622769185,0.8607227987
RSES60 z10.19 L2,4003.3213015561,2.0631569245,4003.3700083821,2.0631072919,3918.0121458851,1.0620935144,3918.0120463209,1.0620936372,3874.6300521976,0.9298243723,3874.6052904364,0.9298595374,-3.3213815932,145.2790953072,0.4759824878,162.8567737833,6.8341737121,0.8608162153,0.069184228,46.4015183968,0.1068545224,0.8384365573
RSES60 z16.1 R,3982.0703283285,2.2644431324,3982.1190563451,2.2644235271,4001.080587034,0.87053674,4001.0804952908,0.870536838,4010.6281448375,0.5742988099,4010.6034994742,0.5743074677,0.7120534609,718.0931417569,0.4826233586,819.8986035713,11.6703255115,0.8547060476,0.0762250581,50.4424715383,0.0874344759,0.8985820015
RSES60 z16.1 L1,1224.5111988737,1.2476932628,1224.5854822576,1.2476236808,2519.7719134678,1.6485689948,2519.7715188726,1.6485698244,3831.7492569437,1.5413084387,3831.6479758128,1.541533558,68.0430237794,532.7180549509,0.4967882848,146.7121985479,8.968442412,0.2092058513,0.1118643792,10.9603496179,0.1771727404,0.8450203739
RSES60 z16.1 L2,3889.175509762,2.7718245419,3889.223553128,2.7716550199,3931.7746660529,1.8584612119,3931.774567829,1.8584614021,3953.5748743855,1.7896864884,3953.5500590542,1.7897889683,1.6288894651,99.7473087227,0.5478724819,110.4629074416,11.2774236441,0.8281706164,0.0949112898,47.0483686202,0.1869208351,0.8370018441
RSES60 z16.16c L1,1132.9934725779,0.7552608557,1133.0586288335,0.7552412881,2226.537265332,1.3960845571,2226.5367386208,1.3960856788,3472.6298971671,1.5978802235,3472.5318756518,1.5981418601,67.3736186657,600.3786483978,0.8082608982,153.4184562659,7.3791482255,0.1921587267,0.0726844467,7.9603089465,0.1547658802,0.8261646938
RSES60 z16.16c L2,3943.7841340426,4.3220381475,3943.8303479333,4.3217548869,3963.0269301616,2.9231286674,3963.0268349149,2.9231289478,3972.7813896693,2.8014454796,3972.7577855649,2.801606713,0.7298980936,57.1859158303,0.6152034596,65.4433477421,10.6337154924,0.8437226051,0.1465000665,48.5502337571,0.2938139727,0.8455534055
RSES60 z18.11 R,3836.2226235089,3.0343953965,3836.2754202051,3.0343623676,3864.7377955069,1.6875867605,3864.7376905793,1.6875869479,3879.5616366879,1.4388016256,3879.5339693429,1.4388082772,1.1171110872,1652.3654554674,0.3452965996,1713.4348731078,11.5082211643,0.8132162907,0.1049524981,43.9786042039,0.1699811564,0.8628203323
RSES60 z18.11 L1,1228.2708693877,0.7512472439,1228.3498421987,0.7512358996,2420.8047174503,1.0101596186,2420.8042824581,1.0101604259,3664.290299778,0.8790934606,3664.181687645,0.8791744047,66.4799792347,1251.3855086919,0.3499597169,326.7648309842,4.5492900943,0.2099121689,0.0671698467,9.8496095979,0.1095861158,0.8973081231
RSES60 z18.11 L2,3738.6205591697,1.811377354,3738.6734872191,1.8113253992,3774.1172387334,1.0709497239,3774.1171240107,1.0709498695,3793.016783488,1.0025803013,3792.9883467589,1.002620371,1.4341150441,482.7023081358,0.3761668192,479.4240684571,20.8170704984,0.7859700709,0.0638478738,40.1382871864,0.1081002258,0.8244969777
RSES59 z2.9a R,4001.2714835031,1.507502877,4001.3143870143,1.5075013918,4003.2348339207,0.6197950159,4003.2347423719,0.6197950988,4004.2191178573,0.5059626489,4004.197468574,0.5059706941,0.0736132131,401.980757195,0.7535359952,482.116975829,1.047615754,0.8602369913,0.0505696187,50.5517282717,0.0622480066,0.8396501431
RSES59 z2.9a L1,841.8777484165,1.1355106429,841.9607332775,1.1354393175,2015.9802303316,2.0065752191,2015.9795822481,2.0065769185,3601.1931431096,2.0587862807,3601.0306568071,2.0591942177,76.6222550427,605.0605166231,0.3752701654,104.7412615762,7.8331111998,0.1395223219,0.1438549681,6.2822326041,0.2290743357,0.8369942488
RSES59 z2.9a L2,3841.537311066,6.0654037261,3841.5841542901,6.0653546539,3907.5497500773,2.1785399525,3907.5496494819,2.1785401776,3941.5985229114,0.8237423639,3941.5740845596,0.8237467965,2.5385947164,81.1948573052,0.6202990912,89.3640491497,1.1638691275,0.8147101209,0.2095762883,45.9156013861,0.2192263099,0.968214252
RSES59 z2.9a L3,3952.6110019549,3.3244979547,3952.6558562132,3.3244583831,3969.5641033432,1.3263410347,3969.5640087077,1.3263411718,3978.1426533043,0.9234122645,3978.1197847907,0.9234372607,0.6417982856,39.6855019671,0.6765757786,46.0511161651,1.5532028815,0.846248495,0.1125109884,48.8702740074,0.1332975971,0.8875597313
RSES59 z2.9b R,3962.3050557243,1.3701183342,3962.3507379442,1.3701141906,3970.5951442339,0.6112276275,3970.5950496945,0.6112277136,3974.7862569488,0.5443534088,3974.7630053012,0.5443589839,0.3140093685,139.7285186761,0.6341249288,161.4481638584,0.5729576941,0.8490271913,0.0462871304,48.9209390355,0.0614272521,0.8079035402
RSES59 z2.9b L1,669.349380659,0.4939295951,669.4399715624,0.4938480816,1728.8085777617,1.3917681193,1728.8077178405,1.3917703606,3457.312566747,1.7342492568,3457.0900505254,1.734697282,80.6396046716,1514.0523133464,0.2229306388,194.7872405942,12.1492226175,0.109430561,0.0776670241,4.4882875265,0.167607658,0.8299140885
RSES59 z2.9b L2,3620.044157305,1.7884543706,3620.0986642948,1.788389057,3734.1828914826,1.1093698124,3734.182772158,1.1093699684,3795.998402356,1.1128380777,3795.9684171056,1.1128886255,4.6352560355,74.3485057631,0.3493538658,70.5136031058,3.6127020133,0.7534193666,0.0645643552,38.5517485025,0.1120903181,0.7829977629
RSES59 z2.9b L3,3860.3314493224,4.2990264812,3860.3812625263,4.2989545681,3879.2623075519,1.8319963332,3879.2622041146,1.8319965315,3889.0602486675,1.3027060053,3889.0342723654,1.3027654764,0.7387080042,21.6718955358,0.4753323994,23.2132998468,1.4765143144,0.8200093589,0.148012864,44.6266229019,0.1844671502,0.8871992754
RSES59 z2.9c R,3941.6886495313,3.2883528982,3941.7328936898,3.2883306109,3974.0060166838,1.206173139,3974.0059224615,1.2061732656,3990.3604905827,0.6088427117,3990.3379037783,0.6088479014,1.2197354391,51.9041326562,0.7090041649,60.4569501945,0.1418148078,0.8431228151,0.1115117685,49.0889153312,0.1212098681,0.9422034629
RSES59 z2.9c L1,926.6427158281,0.7625685355,926.7290039948,0.7624867106,2034.6548187338,1.5535212176,2034.6541824606,1.5535227123,3475.7695778244,1.8183811776,3475.6136692602,1.8186990252,73.3399267391,251.0367753112,0.2453791734,45.9487618667,2.9581754161,0.1546056265,0.0883328917,6.4174043031,0.1768398944,0.8091334844
RSES59 z2.9c L2,3238.6116798484,3.7876130388,3238.6698953984,3.7874891934,3580.7165223715,2.254953393,3580.7163835778,2.2549537183,3778.0478081091,2.0286508028,3778.0129214175,2.0287740452,14.2781710465,43.9284343455,0.3329925743,35.9265710881,3.6286917213,0.6526807517,0.1487720546,33.0036723938,0.2288080383,0.831136173
RSES59 z2.9d L1,841.3053514724,3.3013085559,841.3872427608,3.3000539369,2034.522490414,9.900012625,2034.5218540579,9.9000189113,3634.7047668042,12.1353805952,3634.5447019164,12.1384781928,76.8535436728,31.9454098631,0.4074358576,5.5918505111,3.0887444746,0.1394209514,0.4183685129,6.4164377031,1.1269573606,0.8658665686
RSES58 z3.4a L1,2208.6486873052,1.5711514113,2208.7158304856,1.5710415218,3212.4645897056,1.5034200716,3212.464390236,1.5034204198,3917.2963011322,1.4530578991,3917.2420372802,1.4531789689,43.6180335231,123.6894014272,0.3748135969,65.6414438436,4.4753737404,0.4086433009,0.0840090567,22.6602294126,0.1545984669,0.8318376127
RSES58 z3.4a L2,3668.5660562265,4.4640276101,3668.6195233374,4.4636765136,3874.1413745608,3.2303292258,3874.1412706005,3.2303295633,3982.2880577899,3.1133490456,3982.2592953009,3.1135576003,7.8779334144,78.6630044924,0.3779449682,78.8397140822,15.1970209554,0.7666667933,0.1595594391,44.397091102,0.3253047695,0.8477612547
RSES58 z3.4a L3,3764.736482694,2.8650609261,3764.7889327888,2.8650004457,3917.0558650686,1.3126609408,3917.0557654105,1.3126610848,3995.9725970087,1.0201117465,3995.9449402299,1.0201565534,5.7867292305,41.478386328,0.3883042006,43.1816429555,2.2327915694,0.7932199941,0.1004723148,46.3568923382,0.1320661692,0.8622555549
RSES58 z3.4b R,4017.0806400749,1.9270441785,4017.1276097345,1.9270271769,4039.3629302782,1.0317620597,4039.3628419296,1.0317621646,4050.4540172887,1.0124290551,4050.4304670778,1.0124305526,0.8239416389,315.8321945336,0.5540820525,371.8614833649,1.119514548,0.8648058027,0.0644591614,52.4190003712,0.1035515751,0.7688634233
RSES58 z3.4b L1,1712.5491155449,0.9425267905,1712.623818805,0.9424633915,2835.1242032767,1.2043247527,2835.1239140284,1.2043252347,3771.0548253923,1.1946694848,3770.9790154041,1.1947838229,54.5870003264,441.8382678682,0.3016065557,168.1589815267,7.6380587713,0.3043055713,0.0626636561,15.3164171284,0.1263518164,0.8644191087
RSES58 z3.4b L3,3939.0571614772,3.4456503828,3939.1068831386,3.4455519831,3979.5326555335,1.6776595387,3979.5325618225,1.677659704,4000.0007061136,1.3872033989,3999.9753441134,1.3872773284,1.523588347,40.854937342,0.4510933283,45.6518122062,3.6180919295,0.8423721537,0.1168998516,49.3622881251,0.168571493,0.8492852902
RSES58 z3.4c R,4068.163042871,1.7876621256,4068.2076766046,1.7876539384,4083.8490567013,0.6987051372,4083.8489721398,0.6987052158,4091.5711529769,0.52500731,4091.549028832,0.5250131407,0.5721056589,100.3713188438,0.6487988093,122.9565142731,0.5248794909,0.8796408396,0.0592563276,54.8114284982,0.0700674145,0.8639262524
RSES58 z3.4c L1,3529.9300543396,10.1038865205,3529.9810674536,10.1030319798,3870.9122442199,7.4265615194,3870.9121399284,7.4265622851,4052.5110978115,6.9520082885,4052.4829715947,6.9525099468,12.8952402809,23.5065761124,0.5382784119,23.3421278301,10.1693726159,0.7290779907,0.3716842145,44.2529481726,0.7479328117,0.8631847129
RSES58 z3.4c L2,3974.1775061596,11.4544885998,3974.2239006101,11.4536309814,4030.0025528872,7.6135871075,4030.0024637204,7.6135877781,4057.9221931198,7.0946300036,4057.8987589619,7.0950878388,2.063733186,17.2202815257,0.5963018465,20.1554330145,9.2079735599,0.8524359127,0.3861058974,51.9288165262,0.7642636547,0.8580202965
RSES58 z3.4c L3,4021.8962144768,9.5889943636,4021.9423360769,9.5885974156,4046.8769016016,5.0182918504,4046.8768139043,5.0182922869,4059.2913463084,4.1858858766,4059.2682520092,4.1861492683,0.9212231555,9.6356302267,0.5929852475,11.4537299669,3.0813420659,0.8661991174,0.3204624305,52.8157744819,0.5035840709,0.8592485091
RSES58 z3.4d R,4017.0294346166,6.4531004563,4017.0746072066,6.453051354,4080.2502770444,2.1897557636,4080.2501921827,2.1897559532,4111.5095531392,0.5530607043,4111.4869861723,0.5530662041,2.2979423324,128.3721077745,0.6400288269,155.0216922602,0.9653697596,0.8647904703,0.2158569626,54.613968503,0.2196068871,0.9855198457
RSES58 z3.4d L1,1717.5650590316,3.2635463846,1717.6326046613,3.2630377418,2971.4096257049,4.2129992652,2971.409372787,4.213000345,3980.5800089984,4.1457736882,3980.5125601792,4.1463902205,56.8513871057,145.1596183103,0.5392308739,60.1794320848,14.5622908785,0.3053193948,0.2164045011,17.6601926724,0.4384118357,0.8553632439
RSES58 z3.4d L2,3564.5850972702,5.344287871,3564.6347867795,5.3438541265,3904.0449527353,3.739746861,3904.044851792,3.7397472382,4083.2626207419,3.4617810187,4083.2354742053,3.4620353253,12.7025266716,51.0661164061,0.5850869638,52.0483553342,11.7815599571,0.738397951,0.1951619315,45.753941965,0.3763587833,0.8548009065
RSES58 z3.4d L3,3790.7679023229,4.4322395592,3790.8157477465,4.4321264202,3989.2714051922,2.0365745726,3989.2713123758,2.0365747672,4090.6543024325,1.4932693696,4090.6293407147,1.4933603098,7.3310130345,28.3659856512,0.5911296113,31.376530852,2.8792077914,0.8004745929,0.1546441085,49.8476471994,0.2045957677,0.8800324462
RSES58 z3.4e R,3979.0531405751,1.4620499292,3979.1029946002,1.4620441236,4000.83300695,0.6184299437,4000.8329151844,0.6184300269,4011.7744868141,0.5715803312,4011.7492631144,0.5715837074,0.8156327417,63.3232533291,0.430182571,71.6143654402,0.4708397706,0.8538384956,0.0492423124,50.4299298872,0.062113818,0.7878069762
RSES58 z3.4e L1,2262.8998828278,2.8698033696,2262.9607574205,2.8697645868,3210.7507059143,1.7304768623,3210.7505061077,1.7304772489,3871.4267510916,1.0183392421,3871.3783667165,1.0184055838,41.54868403,208.8248011372,0.5826514158,117.5893569139,3.716257684,0.4205466858,0.1503728265,22.6203265528,0.1779602513,0.9289074648
RSES58 z3.4e L2,3885.1460992139,1.7530300646,3885.1935213071,1.7529793954,3941.037526691,0.9646409585,3941.0374293591,0.9646410706,3969.603855813,0.9032348723,3969.5793667665,0.9032729793,2.1276117131,70.4908396947,0.5783850605,78.5776578863,3.3902222195,0.8270280768,0.0600735883,47.4886966639,0.0970032082,0.8049930773
RSES58 z3.4e L3,3927.7597972321,10.9952538972,3927.8078443266,10.9943777024,3971.8970941415,7.813664885,3971.8969997233,7.8136656139,3994.2648355664,7.5128319024,3994.2402624191,7.5133057242,1.6650132395,28.304971611,0.5341763761,31.9147916312,14.7909136409,0.8391457396,0.3737930298,48.9849899909,0.7852383408,0.8584779271
RSES58 z4.19a R,3831.8517903412,4.2170206308,3831.9000028766,4.2169848409,3872.3111606905,1.6688075289,3872.3110565427,1.6688077131,3893.3236923547,0.8425670903,3893.2984157834,0.8425649664,1.5789055026,324.8688508395,0.5599504157,349.8714566506,3.2872545944,0.811986012,0.1459789136,44.3153371688,0.168061233,0.9460641266
RSES58 z4.19a L1,998.5967291001,1.1957747309,998.6772524307,1.1955078356,2162.0852175934,2.8333305251,2162.0846563649,2.8333323135,3573.2967318409,3.369266295,3573.1619352821,3.3699424285,72.0539097634,222.6927126152,0.3892938318,46.2155704125,6.6222817619,0.1675643289,0.1292211102,7.4092229505,0.3167020011,0.8425636148
RSES58 z4.19a L2,3574.9127341345,1.6792715593,3574.9633218003,1.6792371584,3659.282897137,0.9465819596,3659.2827686776,0.9465821142,3705.794306936,0.9126267035,3705.7660208981,0.912662116,3.5318088906,65.852948345,0.5414359356,62.6822865755,2.1676096911,0.741185469,0.0611944405,35.7392121171,0.0958325949,0.7963667306
RSES58 z4.19a L3,3657.1690826861,5.6005145202,3657.2183984448,5.6004410104,3714.0014943083,2.3333189579,3714.0013725883,2.3333192503,3744.799990261,1.4500676062,3744.7729523779,1.4501379772,2.3400691039,46.0497637225,0.5699476699,45.6364193475,2.983184254,0.7635450287,0.200657742,37.7733925277,0.2358805129,0.9169080699
RSES58 z4.19b R,3936.6039706142,1.7260856705,3936.6530291842,1.726073396,3971.3342886246,0.7368931304,3971.334194154,0.7368932232,3988.9245768115,0.5607587385,3988.8995217524,0.5607631706,1.3116469161,262.1576493071,0.4833004192,293.6814354627,1.7846721897,0.8416709806,0.0585882795,48.9572920343,0.0740553013,0.8656692915
RSES58 z4.19b L1,1242.1307981017,1.268002245,1242.209169635,1.267736517,2507.3124078135,2.4159761839,2507.3120083465,2.4159772665,3787.7250309158,2.618147436,3787.6192671918,2.6186200122,67.2064157783,126.4654955883,0.3633806197,34.1920719473,4.4550359008,0.2125161914,0.1122034776,10.8144839413,0.2599392664,0.8622220394
RSES58 z4.19b L2,3670.780814626,3.592710196,3670.8326671649,3.5925205598,3797.5756594224,2.3917384904,3797.5755473197,2.391738765,3865.1745707346,2.3035675212,3865.146466209,2.3037023467,5.0293654931,43.2977275034,0.4502780825,43.0684443044,5.360116171,0.7672734187,0.1283614603,41.0997700121,0.2412815774,0.8289638441
RSES58 z4.19b L3,3764.976918361,3.2534198997,3765.0278785547,3.2533497321,3846.4230788759,1.5395679855,3846.4229720386,1.5395681623,3889.1408289104,1.2831356388,3889.1137640562,1.2831914753,3.1925794414,28.1934107581,0.4567238753,29.134920257,1.7812704173,0.7932864637,0.1140859526,43.1745867804,0.1551362598,0.8423562977
RSES58 z4.19c R,3805.3405358337,2.1750715108,3805.390626011,2.1750494098,3845.4805102249,0.9503799712,3845.4804032883,0.9503800954,3866.4693563031,0.7974107618,3866.4429188866,0.7974168461,1.5809984468,76.3566546698,0.4822625869,80.0508303656,1.092716795,0.8045499416,0.0756775075,43.133599032,0.0957681437,0.8348395362
RSES58 z4.19c L1,1385.2475320079,2.2986915321,1385.3222446593,2.298194731,2483.5610530812,4.6830052104,2483.56064416,4.6830071678,3564.6557178656,5.5337041118,3564.5628273282,5.5344970902,61.1393738513,129.0183540617,0.4249916539,38.4784121193,9.1430484925,0.2397355778,0.1843593608,10.5413322467,0.504958112,0.8570307309
RSES58 z4.19c L2,3607.6286880859,2.8438953902,3607.6794392634,2.8437734516,3668.1272119651,1.9205581367,3668.1270846198,1.9205583945,3701.3311658691,1.9374754248,3701.3029734734,1.9375766194,2.5315885984,37.0566205277,0.5226070431,35.5440861021,3.1927639239,0.7500445995,0.1029292524,36.0606203314,0.194391422,0.8051519673
RSES58 z4.19c L3,3660.4714602732,30.1130426896,3660.522099832,30.1127599806,3721.4471718301,10.9933478537,3721.4470509995,10.9933491646,3754.4365798796,3.1173784801,3754.4088588761,3.1175342725,2.5027755192,20.1707848822,0.5089119818,19.8305007874,2.8687001706,0.7644490536,1.0781841244,38.0587580183,1.1111275837,0.9828649372
RSES58 z4.19d L1,1446.4088785615,4.6747806781,1446.4829537876,4.6738087306,2507.7246065803,9.3551873477,2507.7242072755,9.3551910608,3530.6187750499,11.2585055029,3530.5299387645,11.2599813202,59.0324254552,23.9225159854,0.4228072798,7.4445445416,3.4764675807,0.2515536108,0.3607211708,10.8192810533,1.0065037749,0.8402406648
RSES58 z4.19d L2,3521.7440453638,9.442101082,3521.7964418436,9.4419362902,3579.5683847396,4.4709269555,3579.5682457888,4.470927576,3612.0838201579,3.5002903161,3612.053993548,3.5004616311,2.5010431455,15.6796193644,0.479893217,14.2764220016,2.1236508525,0.7268840771,0.3479692682,32.9652446923,0.453676379,0.8703419253
RSES58 z4.19e L1,969.5272743553,4.010803662,969.6171025872,4.0095008695,2077.3223088987,11.3571119103,2077.3216988084,11.3571187998,3475.405161137,14.5761316767,3475.2495780524,14.5790650079,72.1031871277,25.1419174149,0.1228216328,4.6984976526,2.9263438633,0.1623128462,0.4453918347,6.7357332435,1.2845613886,0.8406825549
RSES58 z6.10a R,4109.9600978319,8.656031382,4110.0063783768,8.6559640949,4112.6359565398,2.8700358249,4112.6358743421,2.8700360619,4113.9431748929,0.5287156483,4113.920439135,0.5287197496,0.0968189616,468.9801878027,0.5549180635,576.1727713871,0.7834664695,0.8918680732,0.2848311423,56.4163692273,0.2876656698,0.9923123092
RSES58 z6.10a L1,1243.0815981942,4.7505145834,1243.1577463601,4.7492166775,2579.0827784329,9.0527204117,2579.0824062267,9.0527237608,3902.6607456619,9.6154273679,3902.5588399235,9.6174113628,68.1478437608,185.1115766957,0.4321576782,51.7863234031,28.4812886667,0.2126946238,0.4200478039,11.6797889909,0.9678908563,0.8663349956
RSES58 z6.10a L2,4047.4923272458,23.1513674321,4047.5406176464,23.1510859207,4064.4777086172,8.3317122128,4064.477622427,8.3317129218,4072.8785915532,3.5286072878,4072.8545487842,3.5288223788,0.6233002958,52.2913772645,0.480009751,61.7006570392,14.0877081685,0.8736244028,0.7702131672,53.7567575388,0.8358128513,0.9596901175
RSES58 z6.10a L3,4075.748689572,3.4438849341,4075.7962422463,3.4437578058,4079.0021053047,1.7709377037,4079.0020203386,1.77093786,4080.6041012407,1.5063553341,4080.580553817,1.5064350228,0.1189875702,39.1123566316,0.5054163124,46.8413586732,4.2555802287,0.881854811,0.1139996243,54.5456463641,0.1776083355,0.8467528654
RSES58 z6.10c R,4088.8329714038,2.3192165071,4088.8796810605,2.3191729568,4091.5190784353,1.0719525669,4091.5189945102,1.0719526686,4092.8377919288,0.877415316,4092.8147308299,0.8774415276,0.0978494807,49.7737176132,0.5415156307,60.3560580972,2.3095875793,0.8856780426,0.0765960897,55.2346143916,0.1074825828,0.8463991101
RSES58 z6.10c L1,1222.4213378169,6.8638805922,1222.49884025,6.8620032056,2588.4650798165,12.8358704125,2588.4647110338,12.8358750956,3945.3823295253,13.4339776539,3945.277329758,13.4368697814,69.0164035899,37.5429410555,0.3977575716,10.3199364588,8.2024301679,0.2088145064,0.6162142089,11.7974952817,1.3712945103,0.8626326302
RSES58 z6.10c L2,4073.3718277934,7.2095409369,4073.4193959586,7.209290978,4060.0643870705,3.5533921085,4060.0643005049,3.5533924157,4053.490388662,2.912272112,4053.4667831331,2.9124436425,-0.4904770266,11.2559434885,0.5055149781,13.400662945,2.4453480948,0.8811472024,0.2387611824,53.5192806012,0.3564946956,0.8570840458
RSES58 z6.10c L3,4078.8775239453,32.8565025011,4078.9240392553,32.8549934837,4078.5747598489,17.5845896358,4078.574674847,17.5845911087,4078.4257013346,14.8926907264,4078.4026743897,14.893643407,-0.0110783583,7.1667518753,0.5543832977,8.6564975857,8.5179395565,0.8827681076,1.0870095968,54.5222737196,1.7635819593,0.8580977703
RSES58 z6.10d R,4141.0769604941,2.1947201068,4141.1200919971,2.194706952,4141.9157169507,0.839906929,4141.9156370894,0.8399070103,4142.3226455511,0.6322854184,4142.3016001995,0.6322910535,0.0300721398,47.5145578598,0.6975554032,60.6339266637,0.5654883809,0.9010212738,0.0718307276,58.0961403509,0.0841420584,0.8620388396
RSES58 z6.10d L1,1542.502673353,16.2786580965,1542.5759853154,16.2782818922,2883.0430407798,12.3698596423,2883.0427648648,12.3698630159,4024.6201988527,5.5836050964,4024.5399912683,5.5845783363,61.6733356903,93.7934662722,0.4119684674,33.9144556182,11.8157242217,0.2703495511,1.1865551948,16.1048947797,1.2938904123,0.9581759308
RSES58 z6.10d L2,4124.0185203991,3.3934470789,4124.0654949016,3.3933613783,4124.5077807069,1.5354944498,4124.5076994646,1.5354945813,4124.7460997177,1.2371230243,4124.7230968634,1.2371840123,0.0176393722,25.7928257545,0.5162789229,31.7029360914,2.3157558,0.8959985895,0.1113890733,57.0916193286,0.1538719646,0.8498818003
RSES58 z6.10d L3,4135.8560412669,14.8742025536,4135.9021546972,14.8731935833,4138.3261129332,8.9048616062,4138.3260327891,8.9048623105,4139.5256188841,7.9365807639,4139.503102513,7.9371014623,0.0886472981,12.3081161345,0.5540206216,15.3224304127,8.4622993745,0.8994831479,0.4872237374,57.8875912384,0.8921453363,0.8589597484
